date,Benchmark,Portfolio,T-Bills
1990-03-31,100.0000,100.0000,100.0000
1990-04-30,100.6800,100.1700,100.6703
1990-05-31,101.4150,101.6726,101.3442
1990-06-30,102.1147,103.2485,102.0213
1990-07-31,102.8295,104.5391,102.7008
1990-08-31,103.5391,103.9118,103.3620
1990-09-30,104.2224,104.7743,104.0176
1990-10-31,104.9415,106.3774,104.6547
1990-11-30,105.6447,107.9730,105.2944
1990-12-31,106.3736,109.3659,105.9314
1991-01-31,107.0863,110.5361,106.5171
1991-02-28,107.7074,111.5420,107.0834
1991-03-31,108.3537,112.1889,107.6421
1991-04-30,108.9496,113.4903,108.1743
1991-05-31,109.5379,114.2166,108.6870
1991-06-30,110.0856,114.2852,109.2026
1991-07-31,110.6471,115.6223,109.7207
1991-08-31,111.2114,117.4260,110.2397
1991-09-30,111.7563,119.1169,110.7435
1991-10-31,112.3039,120.5225,111.2283
1991-11-30,112.8093,121.9326,111.6885
1991-12-31,113.3056,124.6883,112.1040
1992-01-31,113.7588,123.2170,112.4738
1992-02-29,114.1456,123.5127,112.8426
1992-03-31,114.5451,122.8334,113.2203
1992-04-30,114.9346,124.0126,113.6113
1992-05-31,115.3369,126.1208,113.9684
1992-06-30,115.7290,128.1892,114.3264
1992-07-31,116.1109,130.7273,114.6740
1992-08-31,116.4825,132.4529,114.9840
1992-09-30,116.8203,134.3205,115.2928
1992-10-31,117.1474,132.4400,115.5561
1992-11-30,117.4754,131.7249,115.8457
1992-12-31,117.8278,133.3583,116.1678
1993-01-31,118.1813,135.9321,116.4718
1993-02-28,118.5004,137.9303,116.7597
1993-03-31,118.8203,138.3854,117.0513
1993-04-30,119.1293,139.4648,117.3397
1993-05-31,119.4509,138.9209,117.6288
1993-06-30,119.7615,141.0464,117.9336
1993-07-31,120.0848,141.3144,118.2363
1993-08-31,120.4211,143.7733,118.5418
1993-09-30,120.7342,144.5295,118.8451
1993-10-31,121.0601,144.7449,119.1399
1993-11-30,121.3870,144.1210,119.4477
1993-12-31,121.7269,144.7984,119.7666
1994-01-31,122.0677,146.1392,120.0719
1994-02-28,122.3729,144.1152,120.3748
1994-03-31,122.7278,141.7661,120.7188
1994-04-30,123.0837,140.7015,121.0762
1994-05-31,123.4899,140.7971,121.4742
1994-06-30,123.9221,140.7113,121.9038
1994-07-31,124.4054,142.5574,122.3320
1994-08-31,124.9030,142.9608,122.7764
1994-09-30,125.4026,141.9501,123.2533
1994-10-31,125.9418,142.0395,123.7435
1994-11-30,126.4900,141.7029,124.2742
1994-12-31,127.1038,142.2399,124.8657
1995-01-31,128.3154,144.2171,125.4575
1995-02-28,129.5066,146.3500,126.0842
1995-03-31,130.2136,147.1242,126.7081
1995-04-30,131.1264,148.0688,127.3280
1995-05-31,132.6152,149.3673,127.9497
1995-06-30,133.3058,150.1903,128.5683
1995-07-31,133.9216,150.8782,129.1648
1995-08-31,134.6552,151.8212,129.7651
1995-09-30,135.3063,152.5515,130.3539
1995-10-31,136.2112,153.5110,130.9417
1995-11-30,137.1406,154.4797,131.5429
1995-12-31,138.0082,155.4143,132.1443
1996-01-31,138.9319,156.3576,132.7034
1996-02-29,138.9349,156.2326,133.2618
1996-03-31,139.1977,156.2388,133.8201
1996-04-30,139.5669,156.4075,134.3933
1996-05-31,140.0346,156.7344,134.9705
1996-06-30,140.8485,157.7626,135.5534
1996-07-31,141.4521,158.3716,136.1359
1996-08-31,142.0221,158.8768,136.7379
1996-09-30,142.9862,160.0636,137.3396
1996-10-31,144.1235,161.3153,137.9156
1996-11-30,145.0017,162.4816,138.5073
1996-12-31,145.3400,162.5661,139.0989
1997-01-31,146.0184,163.3204,139.6983
1997-02-28,146.4933,163.7271,140.2975
1997-03-31,146.8049,163.7271,140.9077
1997-04-30,147.7395,164.9452,141.5327
1997-05-31,148.5977,165.9068,142.1499
1997-06-30,149.4601,166.8409,142.7351
1997-07-31,150.6467,168.0755,143.3497
1997-08-31,151.0810,168.6436,143.9748
1997-09-30,152.0070,169.6065,144.6011
1997-10-31,152.9380,170.6140,145.2156
1997-11-30,153.4832,171.2368,145.8448
1997-12-31,154.3839,172.2659,146.4765
1998-01-31,155.5098,173.5734,147.1292
1998-02-28,155.9177,173.8042,147.7641
1998-03-31,156.6122,174.6437,148.4184
1998-04-30,157.3426,175.4855,149.0517
1998-05-31,158.1405,176.3770,149.6694
1998-06-30,158.9193,177.2059,150.2945
1998-07-31,159.6728,178.0388,150.9305
1998-08-31,161.0598,179.1851,151.5688
1998-09-30,162.5004,180.7709,152.1782
1998-10-31,163.2823,181.5862,152.7313
1998-11-30,163.5730,181.8386,153.2808
1998-12-31,164.2267,182.5950,153.8535
1999-01-31,164.9088,183.3291,154.4243
1999-02-28,164.8258,183.3932,154.9972
1999-03-31,165.7454,184.3964,155.6004
1999-04-30,166.3472,185.3534,156.1806
1999-05-31,166.6403,185.7223,156.7709
1999-06-30,167.2375,186.1866,157.3753
1999-07-31,167.8639,187.0319,158.0021
1999-08-31,168.4800,187.7257,158.6269
1999-09-30,169.4021,188.7094,159.2834
1999-10-31,170.0305,189.5265,159.9273
1999-11-30,170.5994,190.3472,160.6054
1999-12-31,171.1602,191.0876,161.3149
2000-01-31,171.5694,191.7125,162.0311
2000-02-29,172.5544,192.7286,162.7997
2000-03-31,173.5334,193.8040,163.5840
2000-04-30,174.1989,194.6412,164.3843
2000-05-31,175.0217,195.5677,165.1828
2000-06-30,176.3991,196.8643,165.9563
2000-07-31,177.4568,198.0140,166.7660
2000-08-31,178.6228,199.2615,167.6303
2000-09-30,179.7562,200.4371,168.5113
2000-10-31,180.7499,201.5636,169.3834
2000-11-30,182.1018,202.8234,170.2852
2000-12-31,183.7068,204.2087,171.1653
2001-01-31,185.3704,205.5544,172.0061
2001-02-28,186.4084,206.6294,172.7220
2001-03-31,187.6268,207.7432,173.4214
2001-04-30,188.2691,208.4952,174.0408
2001-05-31,189.1773,209.5523,174.6039
2001-06-30,189.8390,210.2438,175.1301
2001-07-31,191.2298,211.7491,175.6636
2001-08-31,192.0897,212.8100,176.1795
2001-09-30,193.9565,214.5700,176.6738
2001-10-31,195.1336,215.9689,177.0229
2001-11-30,195.1376,215.3707,177.3197
2001-12-31,195.3545,215.2243,177.5748
2002-01-31,195.7169,215.8699,177.8300
2002-02-28,196.3312,216.4701,178.0904
2002-03-31,195.8207,215.4570,178.3511
2002-04-30,197.0640,217.3271,178.6153
2002-05-31,197.6155,217.9511,178.8775
2002-06-30,198.5946,219.1063,179.1340
2002-07-31,199.9603,220.7036,179.3847
2002-08-31,200.4534,221.5776,179.6373
2002-09-30,201.4261,222.6788,179.8872
2002-10-31,201.8028,223.0128,180.1191
2002-11-30,201.6406,222.7943,180.3360
2002-12-31,202.7230,224.1578,180.5178
2003-01-31,202.8344,224.0950,180.6968
2003-02-28,203.3608,224.6642,180.8729
2003-03-31,203.6576,224.7069,181.0522
2003-04-30,203.9534,224.9743,181.2193
2003-05-31,204.4425,226.2319,181.3867
2003-06-30,204.6996,226.5011,181.5526
2003-07-31,204.2420,225.2848,181.6806
2003-08-31,204.4050,225.2668,181.8225
2003-09-30,205.4213,226.8189,181.9692
2003-10-31,205.1330,226.2405,182.1114
2003-11-30,205.1705,226.3083,182.2552
2003-12-31,205.8615,227.2339,182.3960
2004-01-31,206.1671,227.5907,182.5354
2004-02-29,206.7480,228.5033,182.6733
2004-03-31,207.1635,229.0449,182.8160
2004-04-30,206.2527,227.7531,182.9589
2004-05-31,206.2478,227.8077,183.1049
2004-06-30,206.3332,227.8510,183.2666
2004-07-31,206.8181,228.4229,183.4592
2004-08-31,207.6645,229.4440,183.6785
2004-09-30,207.7159,229.4509,183.9200
2004-10-31,208.1929,230.1805,184.1806
2004-11-30,207.8439,229.2851,184.4714
2004-12-31,208.2502,229.8331,184.8131
2005-01-31,208.4210,229.8262,185.1537
2005-02-28,208.3878,229.3367,185.5329
2005-03-31,208.6348,229.3596,185.9573
2005-04-30,209.4661,230.5018,186.3860
2005-05-31,210.1321,231.2625,186.8347
2005-06-30,210.6111,231.7296,187.2924
2005-07-31,210.6122,231.9428,187.7788
2005-08-31,211.5791,232.8080,188.3098
2005-09-30,211.6372,233.2177,188.8587
2005-10-31,211.9756,233.7914,189.4154
2005-11-30,212.6658,234.5419,190.0275
2005-12-31,213.4577,235.4308,190.6501
2006-01-31,214.0344,236.1889,191.2973
2006-02-28,214.4962,236.8479,192.0083
2006-03-31,215.0715,237.5371,192.7469
2006-04-30,215.8368,238.4279,193.4861
2006-05-31,216.4564,239.2266,194.2532
2006-06-30,217.1089,240.0065,195.0356
2006-07-31,218.3905,241.2449,195.8443
2006-08-31,219.6555,242.1375,196.6715
