name,mean,median,sd,freq0,var
US.CASH,0.0181082160000001,0.0170417412078543,0.0158286312188977,0.123,-0.0130787807200103
US.GOVT.15,0.0303010000000001,0.0272733694915814,0.0403894726989657,0.2334,-0.0507126726727728
US.FRN,0.042590744,0.0477281115323631,0.0459498617864734,0.1674,-0.0903235109682942
US.SUPRA,0.036433728,0.0346824838172657,0.0281131305764804,0.0876,-0.0218183954082231
US.CORP,0.0518719129999996,0.0504524780096348,0.0557856303565107,0.1476,-0.0842885471169257
CN.GOVT.13.U,0.092727,0.09064415192627,0.0776540144722093,0.1162,-0.07703024586673
CN.GOVT.13.H,0.0303010000000001,0.0280982995475884,0.0402868475033217,0.2312,-0.0528247264782751
EMD.USD,0.182944382976,0.1843249985181,0.197638433241075,0.1792,-0.262855525680303
US.EQ,0.207949625,0.193586743311644,0.340601385100647,0.2856,-0.493381561853361
GL.EQ,0.216476296875,0.196283728461622,0.35274306724383,0.2778,-0.505182393883442
AC.EQ,0.225043,0.2014549974069,0.36319834514866,0.2722,-0.500052523836591
GOLD,0.092727,0.0394214979745114,0.385892142143002,0.4546,-0.600360399204895
